essay_id,score,raw_pred
001ab80,4,4.323156
001bdc0,4,3.6653738
0033037,2,2.1584644
0066c7c,2,2.3631349
0072128,4,3.7370348
0079f2a,2,1.0846318
0081f18,3,2.3447866
008341a,3,2.8282769
0084f6c,4,3.626363
00a3575,2,2.1560152
00a4469,4,3.2778153
00a6693,4,3.9162712
00aa6de,2,2.4379244
00b2fe2,4,3.827513
00b3311,4,2.1549466
00ccc2d,4,4.638261
00d576b,1,1.5767016
00e5687,3,3.1010785
00eabc5,4,4.9322653
00f6ac7,3,3.5575879
00fca9b,3,2.4389129
00feec3,2,1.2449572
0105e2e,2,2.3681817
01290ec,3,3.2081513
012f8f0,3,3.1063833
013ac83,4,3.9624138
014eba6,1,1.4051468
016ed64,4,3.5011575
0187e96,4,3.5084803
018985d,3,3.2982743
01ad79e,2,1.8746334
01c46fa,3,2.854566
01c5073,3,3.4977973
01c5750,3,2.9556952
01c5e87,5,4.1171083
01e0bb8,4,4.1875477
01e78c7,2,2.1728783
01ec1a3,4,3.8338647
01f5682,5,4.0797186
0232fa2,1,1.9247897
024873e,3,3.7122092
025d46f,2,2.5404704
0264158,3,2.586302
028d00e,3,1.9843092
02a1c3a,4,3.971161
02a7530,3,2.3513913
02a7cff,2,2.9353123
02a9d14,3,2.5204077
02b6da9,1,1.6135387
02f131c,3,2.7361872
02f14c6,4,2.2975574
030b9ea,2,3.0248322
0329d02,2,2.0146744
034dbcf,2,1.9539409
035e589,4,4.46395
035fd2d,3,3.1376424
0364075,2,2.3658466
03c7046,2,2.9305189
03da458,4,3.4053245
03dc26a,2,2.5659742
03f958f,3,3.481009
03fb253,2,3.0227282
03ff4c1,3,3.1827948
043d7ad,3,3.394582
044b201,4,3.6205564
045fabf,2,2.2346716
04b4ad6,3,2.4705238
04c4f26,3,2.9925528
04cecb6,3,3.3534746
04d3f9c,4,3.5087156
04e1cec,3,3.4075768
04e6cd8,2,2.1116457
04f47a5,4,3.7947304
04fcfb0,4,3.735495
0514ba2,3,2.5843492
0519419,4,3.3556502
0539a44,2,2.1031184
0544d67,2,2.4998174
0545b94,3,3.1524882
0548f53,2,1.6645031
05508b4,2,1.9482368
05580e1,3,2.8904493
05592d5,5,4.38525
056a4a4,4,4.042236
056f9ed,3,3.181896
05adbff,3,1.8965724
05b31a1,3,3.2153728
05c8b2d,3,2.2496898
05c94e5,3,4.0157347
05d73d1,2,2.7018795
05fa43a,3,2.7563858
05ff7b3,3,3.8092885
06047ac,2,1.9848654
060694e,3,2.7347233
060a4e7,1,2.5610433
0613e60,3,2.8814533
062455d,3,2.5282633
0635458,3,3.1590118
0642363,2,2.1641545
0644f5b,4,2.7234836
065c240,4,4.281251
06633fa,3,3.782071
0667fd7,3,4.0124164
0670d67,5,4.6856947
06743f8,3,3.02411
0674a38,4,3.0575721
067d842,2,1.9508522
0689c67,5,5.0780573
068aea7,3,2.8364615
069cd67,4,4.1940813
06a0e57,3,2.8538828
06a9e1d,2,2.1779513
06a9e59,3,3.4642553
06aa059,2,2.1635175
06be122,2,2.2391539
06c3439,2,1.9852622
06c92ec,3,2.6041708
06cf397,4,4.2408905
06d32ab,4,3.5362408
06e2db4,6,5.6092086
0719241,3,3.0097013
0760ba5,3,2.9858708
0760f30,4,3.3679583
076539f,1,1.1112435
077377d,3,2.2398143
078c66d,4,3.3914719
07b76d3,4,3.428041
07c589a,2,1.9342479
07d2045,1,1.711039
07e11fc,3,3.6684287
07e4b76,3,3.5049562
07f4106,4,4.128442
0819c99,3,2.1747768
0821b94,3,3.5076447
082e9df,4,2.9678187
08407fe,2,1.8877599
0848273,4,3.0777166
084cdc4,2,2.1638956
085092e,2,2.5001655
087c663,4,4.0337315
0882383,3,3.2026007
088c6ac,3,2.6176245
089a7f7,3,2.3605785
089aae3,2,2.6724217
08c6a31,4,3.8229716
08cd1b8,1,1.5489385
08cdf6e,5,4.8065553
08d9638,4,2.8672414
08dcd91,3,3.307917
08fa0b3,3,3.0657656
0909271,2,2.2215915
092a3b6,3,2.3367994
09330dc,2,2.2660234
093da21,3,2.748072
095f993,3,2.7240994
096eae9,3,2.9688673
0973664,3,3.2165453
09763fb,3,2.5869215
098c450,2,2.9099584
098d10a,5,4.6119976
099fc28,1,1.668592
09a04e4,4,4.256628
09a62eb,4,3.1251009
09b1b24,2,1.7896359
09c4d28,3,3.0317192
09cc092,4,4.399452
09e2b3e,3,2.4537165
09fc519,4,3.8708396
0a30626,2,2.2464519
0a31cd0,4,2.82376
0a45f39,1,1.6626629
0aa8caf,2,2.3864322
0aae146,6,5.713338
0abf87b,4,3.9922805
0ac8051,2,2.5606542
0acad9f,2,2.3624125
0acae1e,3,2.408217
0add2dc,3,2.7059486
0ae1dee,4,3.9386485
0ae3894,3,2.931248
0afe6a6,4,4.543973
0b0644a,4,3.137561
0b15a66,3,3.065939
0b1ab1d,2,2.0223887
0b23a57,4,3.0862098
0b271eb,3,3.741055
0b35fa9,2,2.8626094
0b3ab03,3,2.8815122
0b488e9,3,2.9721775
0b4b11b,2,2.5045855
0b4df74,4,3.711382
0b4ecc7,2,2.2600753
0b568f9,3,2.483836
0b5971b,3,2.6200297
0b5c44b,5,4.4631634
0b88519,4,3.6222239
0b8ed23,3,3.2093177
0b8fea3,3,2.7249556
0b9274e,3,3.9849267
0ba78ec,3,2.3873765
0bbaaee,3,2.3930678
0bc43f3,4,3.9728317
0bc541d,4,3.5102448
0bf03a7,2,2.686014
0bfeec7,4,4.1735563
0c02064,4,3.7713869
0c09020,4,3.6000621
0c0b284,3,3.3436878
0c4420d,2,2.0555832
0c4ede2,4,4.650324
0c560ab,3,3.0930007
0c5c345,2,2.4773767
0c66cb3,3,2.9477835
0c720f3,2,1.731381
0c72406,1,1.4077214
0c8039c,2,2.4763584
0c9029c,3,2.6751883
0c9c20d,2,1.7705283
0c9e34e,3,2.6288002
0cb15fe,2,2.1805387
0cd7e90,3,3.5847433
0cd96ea,1,1.0176377
0cecb68,3,2.7022548
0cf0f8e,3,2.6963892
0cf9088,3,2.0369215
0d0a0cb,4,3.9566119
0d125d4,4,3.5747137
0d28420,3,3.3268847
0d3b8e3,3,2.896268
0d67d1f,3,2.3246236
0d7b70d,2,1.7904818
0d96a6c,2,3.3856175
0da50b1,4,3.9582934
0dba702,3,3.3972988
0dd72fb,4,2.983046
0dec069,2,2.1388206
0df054c,3,3.2734623
0e02ecd,1,1.6218468
0e233ca,4,3.903013
0e2b2aa,2,2.8496356
0e2b7d1,3,3.7544441
0e5feb0,4,3.9671834
0e6da97,2,2.4573836
0e88742,2,2.2745142
0e8c167,1,1.6150777
0e918db,2,2.4122148
0ea0f0d,4,3.3821251
0ea9cf8,3,2.9824042
0ebb30a,1,2.2050772
0ec99dd,5,4.091548
0eca72b,2,1.8113282
0ed48ed,2,2.0020018
0edb7ff,3,2.9032865
0edee1b,2,2.107183
0ee0e5c,4,4.1913795
0f1081a,2,1.7248824
0f200d8,3,3.0328386
0f3483e,4,3.6604385
0f52764,1,2.075269
0f549ce,5,5.247039
0f7c6f3,2,2.0238805
0f7dda8,3,2.968609
0f81127,5,5.1061373
0f89fad,3,2.582053
0f8c08a,2,2.5172272
0f8c21d,4,2.5082734
0f91158,4,3.7556455
0f93a88,4,4.2230535
0fa3969,4,4.2781906
0fb8b19,3,3.4606137
0fc32e0,4,3.8427176
0fc8125,5,4.3596177
0fd322d,4,3.2298694
0feef16,5,4.4038186
100527c,2,2.1446643
101b994,1,1.1828371
102db72,4,3.4926784
10461dd,3,3.4646475
10642eb,2,2.4724946
107348c,2,2.0873542
107c77b,4,3.4182482
108d15e,4,3.1865244
1097d92,2,2.2200832
10a41ed,2,2.169355
10a4863,2,2.5229428
10b3a40,4,3.8828125
10b6508,5,4.444179
10b9524,3,2.9807372
10bf544,2,1.337345
10ca44e,1,2.2806597
10cd7ba,4,3.3070421
1100c54,2,2.3600245
11160a7,4,4.1818094
111c03c,2,2.1978755
111fe95,3,2.5051975
112f03f,3,3.3531284
1174cd2,3,3.0360723
1178b7e,2,1.6407517
1180164,1,1.6222879
1181dec,4,4.380582
1188040,4,3.2731361
1194992,3,3.285869
11ab02b,1,1.8427472
