essay_id,score,raw_pred
000fe60,3,2.8572595
0033bf4,3,2.9797068
00613e3,3,3.0903354
0065bd6,3,2.9302614
006c931,3,2.9886549
007db64,2,1.7438076
00a541a,2,2.4250784
00c3589,4,3.3294632
00d4911,4,3.3486042
00dd003,2,2.9629111
00e3edb,1,1.6304977
00ef89f,1,1.9783536
0163804,4,3.9050155
019b862,2,1.9115441
019e2c4,3,3.6750627
01a39ed,4,3.8994927
01bb07c,4,3.233179
01ec06b,3,2.9283473
022d72e,3,3.073847
0237cbd,2,2.724288
023ab53,4,3.4079833
0262618,2,1.3811874
0279487,1,1.4745319
027a1f9,2,2.0510173
02a1298,2,2.727499
02c0440,3,2.7141335
02cd88d,1,1.2702844
02d1c60,2,2.3763628
02d481d,6,4.6885476
02d8dd2,4,3.9773877
02dabc0,2,2.5888567
02ecf18,2,1.4204898
0307ec7,2,2.753768
03194a0,4,3.4967053
032153a,3,2.9446108
032a3bf,2,3.989637
032db9e,4,4.036415
0338170,1,1.7138435
033a27e,2,1.8640592
033aa4b,2,1.9054911
03448b6,3,2.6049786
0345980,4,3.8090765
035a4d2,1,1.0252854
036e19b,2,3.0410972
036f820,3,3.0231445
0376bcb,3,2.5518365
037ac1f,3,3.10844
039e817,2,2.1888218
03f8d0e,3,2.8094583
040ba87,4,3.6528187
040bb8a,4,3.9213006
041804e,4,3.9334896
0429d4a,2,2.3160565
0435f85,3,2.7105772
04575a9,4,3.9888003
0459116,5,4.385144
045fec2,3,3.649946
0467e2a,4,3.8302178
047bb6e,1,1.5366623
047f2c6,3,3.1320174
0493c5f,1,1.248296
0499982,3,3.1332812
04a4c98,3,2.8211322
04a99cb,3,3.624179
04af97d,4,3.8972168
04d2b73,4,3.7374086
04db8d6,3,2.1391778
04defeb,2,2.1971583
04ef8ff,3,3.1453743
04f8928,2,2.0288737
0509d92,4,2.7668285
05182bf,4,3.411789
054e4c8,3,2.524561
0571af0,4,3.8908458
0595f5d,1,1.2094275
05b0858,4,3.5874019
05b37db,2,1.9747427
05c4acd,2,2.050815
05cafcf,4,3.3394613
05e6736,3,2.8231606
05efbec,4,3.891962
05fa0f0,1,1.4088671
0608495,3,3.8294444
0616815,2,2.0085268
061ba37,2,2.8016734
0668f09,5,4.404375
06730ad,3,2.325445
06939ab,3,2.914166
069945c,3,2.9961553
06c7ba1,3,3.2717772
06cb1df,2,2.177847
06d752e,2,3.0187488
06ed983,3,2.8420691
071de41,4,3.944941
0728321,4,3.0764284
072c8a3,3,3.87677
0742654,2,2.8888512
0746d1a,2,2.66652
07492fd,3,2.7135067
074b43d,3,3.2638226
0760842,3,3.9811237
0764c35,3,2.1737924
0767c85,3,3.62898
0775ccb,3,2.925622
077acd9,3,3.5421717
078120d,4,3.1785414
0785120,4,3.3797233
0786ec3,3,2.8069394
0792205,1,1.1239673
07952db,3,3.1635895
07a82b9,4,4.3924036
07b6457,2,1.742651
07c48b4,4,3.6224933
07ca280,4,4.043566
07cd836,4,3.6298804
07d1a3b,2,3.0468445
07dd0fd,1,1.3158587
07f838d,2,2.036308
08139fb,2,2.0178297
081db56,3,3.0592659
08207e4,3,3.1558738
084e848,2,1.9895046
0854673,2,2.8892832
08629e7,3,3.0466883
0863447,2,2.1248548
08669b6,2,3.0632887
088fd5c,4,4.1421013
08a5c68,4,3.5650592
08ab023,2,1.6951988
08b1777,3,2.953792
08b8798,3,3.1508677
08def35,2,1.31471
08f5a36,5,5.1223655
08fb0fb,2,3.3384283
0913268,1,1.0147907
091a770,3,2.556344
091e483,3,3.0212953
092ff4e,3,3.6798506
09344c3,3,3.2049336
0946813,4,3.6365156
0947cdc,4,3.363479
09487c8,3,3.1263251
095042a,2,1.8238461
097b864,3,3.2845201
09915db,3,2.345708
09af24e,2,2.700385
09bd6f6,4,3.6171446
09c8185,2,1.8634553
09ce958,2,2.7662692
09d065f,3,2.6395788
09d976b,2,3.0271735
09da56a,4,3.9934242
09df111,2,1.9729912
09e4fce,3,3.5428507
09f2c09,2,2.1476593
09f7d1f,2,2.1059773
0a07f07,3,2.369539
0a0d3b4,4,3.218857
0a0f8b3,2,2.5441163
0a238c3,4,3.8483124
0a28113,3,2.972571
0a6ac75,1,2.0282364
0a7ef89,3,2.9982066
0a8590a,2,1.5368812
0a919e7,2,2.9673243
0a93900,1,1.4322416
0a9488d,6,5.2759504
0a99d52,3,2.4922738
0a9df6a,4,3.9035559
0acfeeb,4,4.1532135
0ad4908,3,2.8332198
0aec0b5,3,3.0865889
0b059bd,1,2.157883
0b095ea,3,1.6912696
0b0f882,3,1.7278335
0b28ade,3,2.9238617
0b2bfc4,4,3.023007
0b64865,1,1.7396963
0b6df5c,3,3.8552723
0b72cc9,3,3.0989304
0b76940,2,2.3183122
0b869b2,4,3.5025425
